path,category
".cursor/rules/vedmoulya-rules.mdc",OTHER
".devcontainer/devcontainer.json",OTHER
".dockerignore",OTHER
".editorconfig",OTHER
".env.example",CONFIG
".env.production.example",CONFIG
".gitattributes",OTHER
".github/ISSUE_TEMPLATE/adr.md",CI/CD
".github/ISSUE_TEMPLATE/bug_report.md",CI/CD
".github/ISSUE_TEMPLATE/feature_request.md",CI/CD
".github/PULL_REQUEST_TEMPLATE.md",CI/CD
".github/dependabot.yml",CI/CD
".github/workflows/ci.yml",CI/CD
".github/workflows/release.yml",CI/CD
".gitignore",CONFIG
".husky/commit-msg",OTHER
".husky/pre-commit",OTHER
".prettierignore",CONFIG
".prettierrc",CONFIG
"00_Foundation/CMP-002.md",DOCUMENTATION
"00_Foundation/CONSTITUTION.md",DOCUMENTATION
"01_Research/Human Problems/Interview Template.md",DOCUMENTATION
"01_Research/Human Problems/Problem Categories.md",DOCUMENTATION
"01_Research/Human Problems/Problem Prioritization Framework.md",DOCUMENTATION
"01_Research/Human Problems/Problem Repository.md",DOCUMENTATION
"01_Research/Human Problems/Problem Template.md",DOCUMENTATION
"01_Research/Human Problems/Problem Validation Framework.md",DOCUMENTATION
"01_Research/Human Problems/README.md",DOCUMENTATION
"01_Research/Human Problems/Research Methodology.md",DOCUMENTATION
"01_Research/Human Problems/Research Roadmap.md",DOCUMENTATION
"01_Research/Human Problems/Research Sources.md",DOCUMENTATION
"01_Research/Human Problems/User Observation Template.md",DOCUMENTATION
"02_Product/00_Core/Architecture.md",DOCUMENTATION
"02_Product/00_Core/Features.md",DOCUMENTATION
"02_Product/00_Core/Human Journey.md",DOCUMENTATION
"02_Product/00_Core/Human Progress Index.md",DOCUMENTATION
"02_Product/00_Core/Journey Stages.md",DOCUMENTATION
"02_Product/00_Core/Pain Points.md",DOCUMENTATION
"02_Product/00_Core/Personalization Rules.md",DOCUMENTATION
"02_Product/00_Core/Product Principles.md",DOCUMENTATION
"02_Product/00_Core/README.md",DOCUMENTATION
"02_Product/00_Core/Recommendation Engine.md",DOCUMENTATION
"02_Product/00_Core/Roadmap.md",DOCUMENTATION
"02_Product/00_Core/User Assessment.md",DOCUMENTATION
"02_Product/00_Core/User DNA Dimensions.md",DOCUMENTATION
"02_Product/00_Core/User DNA.md",DOCUMENTATION
"02_Product/00_Core/User Goals.md",DOCUMENTATION
"02_Product/00_Core/User Personas.md",DOCUMENTATION
"02_Product/00_Core/User Profiles.md",DOCUMENTATION
"02_Product/00_Core/User Stories.md",DOCUMENTATION
"02_Product/00_Core/VedMoulya Responsibilities.md",DOCUMENTATION
"02_Product/01_Discover/Architecture.md",DOCUMENTATION
"02_Product/01_Discover/Features.md",DOCUMENTATION
"02_Product/01_Discover/README.md",DOCUMENTATION
"02_Product/01_Discover/Roadmap.md",DOCUMENTATION
"02_Product/01_Discover/User Stories.md",DOCUMENTATION
"02_Product/02_Learn/Architecture.md",DOCUMENTATION
"02_Product/02_Learn/Features.md",DOCUMENTATION
"02_Product/02_Learn/README.md",DOCUMENTATION
"02_Product/02_Learn/Roadmap.md",DOCUMENTATION
"02_Product/02_Learn/User Stories.md",DOCUMENTATION
"02_Product/03_Build/Architecture.md",DOCUMENTATION
"02_Product/03_Build/Features.md",DOCUMENTATION
"02_Product/03_Build/README.md",DOCUMENTATION
"02_Product/03_Build/Roadmap.md",DOCUMENTATION
"02_Product/03_Build/User Stories.md",DOCUMENTATION
"02_Product/04_Earn/Architecture.md",DOCUMENTATION
"02_Product/04_Earn/Features.md",DOCUMENTATION
"02_Product/04_Earn/README.md",DOCUMENTATION
"02_Product/04_Earn/Roadmap.md",DOCUMENTATION
"02_Product/04_Earn/User Stories.md",DOCUMENTATION
"02_Product/05_Grow/Architecture.md",DOCUMENTATION
"02_Product/05_Grow/Features.md",DOCUMENTATION
"02_Product/05_Grow/README.md",DOCUMENTATION
"02_Product/05_Grow/Roadmap.md",DOCUMENTATION
"02_Product/05_Grow/User Stories.md",DOCUMENTATION
"02_Product/06_Manage/Architecture.md",DOCUMENTATION
"02_Product/06_Manage/Features.md",DOCUMENTATION
"02_Product/06_Manage/README.md",DOCUMENTATION
"02_Product/06_Manage/Roadmap.md",DOCUMENTATION
"02_Product/06_Manage/User Stories.md",DOCUMENTATION
"02_Product/07_Community/Architecture.md",DOCUMENTATION
"02_Product/07_Community/Features.md",DOCUMENTATION
"02_Product/07_Community/README.md",DOCUMENTATION
"02_Product/07_Community/Roadmap.md",DOCUMENTATION
"02_Product/07_Community/User Stories.md",DOCUMENTATION
"02_Product/08_AI/Architecture.md",DOCUMENTATION
"02_Product/08_AI/Features.md",DOCUMENTATION
"02_Product/08_AI/README.md",DOCUMENTATION
"02_Product/08_AI/Roadmap.md",DOCUMENTATION
"02_Product/08_AI/User Stories.md",DOCUMENTATION
"02_Product/09_Platform/Architecture.md",DOCUMENTATION
"02_Product/09_Platform/Features.md",DOCUMENTATION
"02_Product/09_Platform/README.md",DOCUMENTATION
"02_Product/09_Platform/Roadmap.md",DOCUMENTATION
"02_Product/09_Platform/User Stories.md",DOCUMENTATION
"03_Architecture/ADAPTER_FRAMEWORK.md",DOCUMENTATION
"03_Architecture/AI/Agents/README.md",DOCUMENTATION
"03_Architecture/AI/Context Engine/README.md",DOCUMENTATION
"03_Architecture/AI/Decision Engine/Decision API Contract.md",DOCUMENTATION
"03_Architecture/AI/Decision Engine/Decision Confidence.md",DOCUMENTATION
"03_Architecture/AI/Decision Engine/Decision Context.md",DOCUMENTATION
"03_Architecture/AI/Decision Engine/Decision Explainability.md",DOCUMENTATION
"03_Architecture/AI/Decision Engine/Decision Intelligence.md",DOCUMENTATION
"03_Architecture/AI/Decision Engine/Decision Learning.md",DOCUMENTATION
"03_Architecture/AI/Decision Engine/Decision Lifecycle.md",DOCUMENTATION
"03_Architecture/AI/Decision Engine/Decision Policies.md",DOCUMENTATION
"03_Architecture/AI/Decision Engine/Decision Scoring.md",DOCUMENTATION
"03_Architecture/AI/Decision Engine/Decision Types.md",DOCUMENTATION
"03_Architecture/AI/Decision Engine/README.md",DOCUMENTATION
"03_Architecture/AI/Evaluation/README.md",DOCUMENTATION
"03_Architecture/AI/Execution Engine/01_Execution_Intelligence.md",DOCUMENTATION
"03_Architecture/AI/Execution Engine/02_Execution_Lifecycle.md",DOCUMENTATION
